Decade,Total Faces,Percentage Pages with Faces
1880,1,2.941176470588235
1890,17,32.69230769230769
1900,25,36.76470588235294
1910,27,51.92307692307693
1920,46,71.875
1930,31,57.407407407407405
1940,24,42.857142857142854
1950,105,111.70212765957446
1960,175,121.52777777777777
1970,202,101.0
1980,343,163.33333333333334
1990,210,103.96039603960396
2000,657,304.16666666666663
2010,699,371.8085106382979
