Decade,Total Faces,Percentage Pages with Faces
1820,0,0.0
1830,1,1.8518518518518516
1840,1,2.0
1850,2,4.166666666666666
1860,4,8.333333333333332
1870,5,10.869565217391305
1880,6,12.0
1890,1,1.9230769230769231
1900,11,20.37037037037037
1910,6,12.0
1920,21,19.090909090909093
1930,32,30.76923076923077
1940,13,14.130434782608695
1950,49,42.241379310344826
1960,44,26.506024096385545
1970,48,25.806451612903224
1980,143,46.73202614379085
1990,190,44.81132075471698
